rgn_id,year,trend
1,2009,0.0399
1,2010,0.0394
1,2011,0.0398
1,2012,0.0407
1,2013,0.0415
1,2014,0.0419
1,2015,0.0414
2,2009,0.0399
2,2010,0.0394
2,2011,0.0398
2,2012,0.0407
2,2013,0.0415
2,2014,0.0419
2,2015,0.0414
3,2009,0.0399
3,2010,0.0394
3,2011,0.0398
3,2012,0.0407
3,2013,0.0415
3,2014,0.0419
3,2015,0.0414
4,2009,0.0399
4,2010,0.0394
4,2011,0.0398
4,2012,0.0407
4,2013,0.0415
4,2014,0.0419
4,2015,0.0414
5,2009,0.0399
5,2010,0.0394
5,2011,0.0398
5,2012,0.0407
5,2013,0.0415
5,2014,0.0419
5,2015,0.0414
6,2009,0.0399
6,2010,0.0394
6,2011,0.0398
6,2012,0.0407
6,2013,0.0415
6,2014,0.0419
6,2015,0.0414
7,2009,0.0399
7,2010,0.0394
7,2011,0.0398
7,2012,0.0407
7,2013,0.0415
7,2014,0.0419
7,2015,0.0414
8,2009,0.0399
8,2010,0.0394
8,2011,0.0398
8,2012,0.0407
8,2013,0.0415
8,2014,0.0419
8,2015,0.0414
9,2009,0.0399
9,2010,0.0394
9,2011,0.0398
9,2012,0.0407
9,2013,0.0415
9,2014,0.0419
9,2015,0.0414
10,2009,0.0399
10,2010,0.0394
10,2011,0.0398
10,2012,0.0407
10,2013,0.0415
10,2014,0.0419
10,2015,0.0414
11,2009,0.0399
11,2010,0.0394
11,2011,0.0398
11,2012,0.0407
11,2013,0.0415
11,2014,0.0419
11,2015,0.0414
12,2009,0.0399
12,2010,0.0394
12,2011,0.0398
12,2012,0.0407
12,2013,0.0415
12,2014,0.0419
12,2015,0.0414
13,2009,0.0399
13,2010,0.0394
13,2011,0.0398
13,2012,0.0407
13,2013,0.0415
13,2014,0.0419
13,2015,0.0414
14,2009,0.0399
14,2010,0.0394
14,2011,0.0398
14,2012,0.0407
14,2013,0.0415
14,2014,0.0419
14,2015,0.0414
15,2009,0.0399
15,2010,0.0394
15,2011,0.0398
15,2012,0.0407
15,2013,0.0415
15,2014,0.0419
15,2015,0.0414
16,2009,0.0399
16,2010,0.0394
16,2011,0.0398
16,2012,0.0407
16,2013,0.0415
16,2014,0.0419
16,2015,0.0414
17,2009,0.0399
17,2010,0.0394
17,2011,0.0398
17,2012,0.0407
17,2013,0.0415
17,2014,0.0419
17,2015,0.0414
18,2009,0.0399
18,2010,0.0394
18,2011,0.0398
18,2012,0.0407
18,2013,0.0415
18,2014,0.0419
18,2015,0.0414
19,2009,0.0399
19,2010,0.0394
19,2011,0.0398
19,2012,0.0407
19,2013,0.0415
19,2014,0.0419
19,2015,0.0414
20,2009,0.0399
20,2010,0.0394
20,2011,0.0398
20,2012,0.0407
20,2013,0.0415
20,2014,0.0419
20,2015,0.0414
21,2009,0.0399
21,2010,0.0394
21,2011,0.0398
21,2012,0.0407
21,2013,0.0415
21,2014,0.0419
21,2015,0.0414
22,2009,0.0399
22,2010,0.0394
22,2011,0.0398
22,2012,0.0407
22,2013,0.0415
22,2014,0.0419
22,2015,0.0414
23,2009,0.0399
23,2010,0.0394
23,2011,0.0398
23,2012,0.0407
23,2013,0.0415
23,2014,0.0419
23,2015,0.0414
24,2009,0.0399
24,2010,0.0394
24,2011,0.0398
24,2012,0.0407
24,2013,0.0415
24,2014,0.0419
24,2015,0.0414
25,2009,0.0399
25,2010,0.0394
25,2011,0.0398
25,2012,0.0407
25,2013,0.0415
25,2014,0.0419
25,2015,0.0414
26,2009,0.0399
26,2010,0.0394
26,2011,0.0398
26,2012,0.0407
26,2013,0.0415
26,2014,0.0419
26,2015,0.0414
27,2009,0.0399
27,2010,0.0394
