rgn_id,habitat,year,km2
1,coral,2018,2018
10,coral,2018,2018
11,coral,2018,2018
12,coral,2018,2018
13,coral,2018,2018
14,coral,2018,2018
15,coral,2018,2018
16,coral,2018,2018
17,coral,2018,2018
18,coral,2018,2018
19,coral,2018,2018
2,coral,2018,2018
20,coral,2018,2018
21,coral,2018,2018
22,coral,2018,2018
23,coral,2018,2018
24,coral,2018,2018
25,coral,2018,2018
26,coral,2018,2018
27,coral,2018,2018
28,coral,2018,2018
29,coral,2018,2018
3,coral,2018,2018
30,coral,2018,2018
31,coral,2018,2018
32,coral,2018,2018
33,coral,2018,2018
34,coral,2018,2018
35,coral,2018,2018
36,coral,2018,2018
37,coral,2018,2018
38,coral,2018,2018
39,coral,2018,2018
4,coral,2018,2018
40,coral,2018,2018
41,coral,2018,2018
42,coral,2018,2018
5,coral,2018,2018
6,coral,2018,2018
7,coral,2018,2018
8,coral,2018,2018
9,coral,2018,2018
