"rgn_id","year","employ_pop"
1,2000,6407099.712
1,2001,6704475.648
1,2002,6668430.08
1,2003,6632384.512
1,2004,6524247.808
1,2005,6533259.2
1,2006,6587327.552
1,2007,6686452.864
1,2008,6695464.256
1,2009,6506225.024
1,2010,6497213.632
1,2011,6632384.512
1,2012,6650407.296
1,2013,6704475.648
1,2014,6749532.608
2,2000,4134313.42
2,2001,4107256.395
2,2002,4134313.42
2,2003,4063965.155
2,2004,4112667.8
2,2005,4107256.395
2,2006,4188427.47
2,2007,4166781.85
2,2008,4215484.495
2,2009,4074787.965
2,2010,3966559.865
2,2011,3955737.055
2,2012,3928680.03
2,2013,3923268.625
2,2014,3939502.84
3,2000,4134313.42
3,2001,4107256.395
3,2002,4134313.42
3,2003,4063965.155
3,2004,4112667.8
3,2005,4107256.395
3,2006,4188427.47
3,2007,4166781.85
3,2008,4215484.495
3,2009,4074787.965
3,2010,3966559.865
3,2011,3955737.055
3,2012,3928680.03
3,2013,3923268.625
3,2014,3939502.84
4,2000,53873054.397
4,2001,54203057.793
4,2002,53955555.246
4,2003,53543051.001
4,2004,53048045.907
4,2005,54038056.095
4,2006,55440570.528
4,2007,56925585.81
4,2008,57833095.149
4,2009,57998096.847
4,2010,58823105.337
4,2011,59978117.223
4,2012,60225619.77
4,2013,60638124.015
4,2014,60885626.562
5,2000,6407099.712
5,2001,6704475.648
5,2002,6668430.08
5,2003,6632384.512
5,2004,6524247.808
5,2005,6533259.2
5,2006,6587327.552
5,2007,6686452.864
5,2008,6695464.256
5,2009,6506225.024
5,2010,6497213.632
5,2011,6632384.512
5,2012,6650407.296
5,2013,6704475.648
5,2014,6749532.608
6,2000,4134313.42
6,2001,4107256.395
6,2002,4134313.42
6,2003,4063965.155
6,2004,4112667.8
6,2005,4107256.395
6,2006,4188427.47
6,2007,4166781.85
6,2008,4215484.495
6,2009,4074787.965
6,2010,3966559.865
6,2011,3955737.055
6,2012,3928680.03
6,2013,3923268.625
6,2014,3939502.84
7,2000,4134313.42
7,2001,4107256.395
7,2002,4134313.42
7,2003,4063965.155
7,2004,4112667.8
7,2005,4107256.395
7,2006,4188427.47
7,2007,4166781.85
7,2008,4215484.495
7,2009,4074787.965
7,2010,3966559.865
7,2011,3955737.055
7,2012,3928680.03
7,2013,3923268.625
7,2014,3939502.84
8,2000,53873054.397
8,2001,54203057.793
8,2002,53955555.246
8,2003,53543051.001
8,2004,53048045.907
8,2005,54038056.095
8,2006,55440570.528
8,2007,56925585.81
8,2008,57833095.149
8,2009,57998096.847
8,2010,58823105.337
8,2011,59978117.223
8,2012,60225619.77
8,2013,60638124.015
8,2014,60885626.562
9,2000,4134313.42
9,2001,4107256.395
9,2002,4134313.42
9,2003,4063965.155
9,2004,4112667.8
9,2005,4107256.395
9,2006,4188427.47
9,2007,4166781.85
9,2008,4215484.495
9,2009,4074787.965
9,2010,3966559.865
9,2011,3955737.055
9,2012,3928680.03
9,2013,3923268.625
9,2014,3939502.84
10,2000,53873054.397
10,2001,54203057.793
10,2002,53955555.246
10,2003,53543051.001
10,2004,53048045.907
10,2005,54038056.095
10,2006,55440570.528
10,2007,56925585.81
10,2008,57833095.149
10,2009,57998096.847
10,2010,58823105.337
10,2011,59978117.223
10,2012,60225619.77
10,2013,60638124.015
10,2014,60885626.562
11,2000,6407099.712
11,2001,6704475.648
11,2002,6668430.08
11,2003,6632384.512
11,2004,6524247.808
11,2005,6533259.2
11,2006,6587327.552
11,2007,6686452.864
11,2008,6695464.256
11,2009,6506225.024
11,2010,6497213.632
11,2011,6632384.512
11,2012,6650407.296
11,2013,6704475.648
11,2014,6749532.608
12,2000,4134313.42
12,2001,4107256.395
12,2002,4134313.42
12,2003,4063965.155
12,2004,4112667.8
12,2005,4107256.395
12,2006,4188427.47
12,2007,4166781.85
12,2008,4215484.495
12,2009,4074787.965
12,2010,3966559.865
12,2011,3955737.055
12,2012,3928680.03
12,2013,3923268.625
12,2014,3939502.84
13,2000,53873054.397
13,2001,54203057.793
13,2002,53955555.246
13,2003,53543051.001
13,2004,53048045.907
13,2005,54038056.095
13,2006,55440570.528
13,2007,56925585.81
13,2008,57833095.149
13,2009,57998096.847
13,2010,58823105.337
13,2011,59978117.223
13,2012,60225619.77
13,2013,60638124.015
13,2014,60885626.562
14,2000,6407099.712
14,2001,6704475.648
14,2002,6668430.08
14,2003,6632384.512
14,2004,6524247.808
14,2005,6533259.2
14,2006,6587327.552
14,2007,6686452.864
14,2008,6695464.256
14,2009,6506225.024
14,2010,6497213.632
14,2011,6632384.512
14,2012,6650407.296
14,2013,6704475.648
14,2014,6749532.608
15,2000,4134313.42
15,2001,4107256.395
15,2002,4134313.42
15,2003,4063965.155
15,2004,4112667.8
15,2005,4107256.395
15,2006,4188427.47
15,2007,4166781.85
15,2008,4215484.495
15,2009,4074787.965
15,2010,3966559.865
15,2011,3955737.055
15,2012,3928680.03
15,2013,3923268.625
15,2014,3939502.84
16,2000,53873054.397
16,2001,54203057.793
16,2002,53955555.246
16,2003,53543051.001
16,2004,53048045.907
16,2005,54038056.095
16,2006,55440570.528
16,2007,56925585.81
16,2008,57833095.149
16,2009,57998096.847
16,2010,58823105.337
16,2011,59978117.223
16,2012,60225619.77
16,2013,60638124.015
16,2014,60885626.562
17,2000,21033783.085
17,2001,20499349.395
17,2002,19735872.695
17,2003,19621351.19
17,2004,19621351.19
17,2005,20155784.88
17,2006,20804740.075
17,2007,21759085.95
17,2008,22598910.32
17,2009,22637084.155
17,2010,22484388.815
17,2011,22637084.155
17,2012,22789779.495
17,2013,22904301
17,2014,23553256.195
18,2000,21033783.085
18,2001,20499349.395
18,2002,19735872.695
18,2003,19621351.19
18,2004,19621351.19
18,2005,20155784.88
18,2006,20804740.075
18,2007,21759085.95
18,2008,22598910.32
18,2009,22637084.155
18,2010,22484388.815
18,2011,22637084.155
18,2012,22789779.495
18,2013,22904301
18,2014,23553256.195
19,2000,65070000
19,2001,65122900
19,2002,66658900
19,2003,66432200
19,2004,67274700
19,2005,68168900
19,2006,68854900
19,2007,70570000
19,2008,70965000
19,2009,69285000
19,2010,69804000
19,2011,70732000
19,2012,NA
19,2013,NA
19,2014,NA
20,2000,6407099.712
20,2001,6704475.648
20,2002,6668430.08
20,2003,6632384.512
20,2004,6524247.808
20,2005,6533259.2
20,2006,6587327.552
20,2007,6686452.864
20,2008,6695464.256
20,2009,6506225.024
20,2010,6497213.632
20,2011,6632384.512
20,2012,6650407.296
20,2013,6704475.648
20,2014,6749532.608
21,2000,21033783.085
21,2001,20499349.395
21,2002,19735872.695
21,2003,19621351.19
21,2004,19621351.19
21,2005,20155784.88
21,2006,20804740.075
21,2007,21759085.95
21,2008,22598910.32
21,2009,22637084.155
21,2010,22484388.815
21,2011,22637084.155
21,2012,22789779.495
21,2013,22904301
21,2014,23553256.195
22,2000,65070000
22,2001,65122900
22,2002,66658900
22,2003,66432200
22,2004,67274700
22,2005,68168900
22,2006,68854900
22,2007,70570000
22,2008,70965000
22,2009,69285000
22,2010,69804000
22,2011,70732000
22,2012,NA
22,2013,NA
22,2014,NA
23,2000,1999711.12
23,2001,1949382.82
23,2002,2033263.32
23,2003,2107078.16
23,2004,2073525.96
23,2005,2110433.38
23,2006,2133919.92
23,2007,2180893
23,2008,2160761.68
23,2009,2009776.78
23,2010,1932606.72
23,2011,2019842.44
23,2012,2080236.4
23,2013,2137275.14
23,2014,2204379.54
24,2000,1291341.576
24,2001,1307089.644
24,2002,1340835.504
24,2003,1356583.572
24,2004,1361083.02
24,2005,1397078.604
24,2006,1482568.116
24,2007,1532062.044
24,2008,1534311.768
24,2009,1356583.572
24,2010,1316088.54
24,2011,1367832.192
24,2012,1417326.12
24,2013,1462320.6
24,2014,1491567.012
25,2000,827539.65
25,2001,823463.1
25,2002,834333.9
25,2003,847922.4
25,2004,858793.2
25,2005,880534.8
25,2006,929453.4
25,2007,948477.3
25,2008,952553.85
25,2009,866946.3
25,2010,831616.2
25,2011,887329.05
25,2012,911788.35
25,2013,930812.25
25,2014,945759.6
26,2000,6407099.712
26,2001,6704475.648
26,2002,6668430.08
26,2003,6632384.512
26,2004,6524247.808
26,2005,6533259.2
26,2006,6587327.552
26,2007,6686452.864
26,2008,6695464.256
26,2009,6506225.024
26,2010,6497213.632
26,2011,6632384.512
26,2012,6650407.296
26,2013,6704475.648
26,2014,6749532.608
27,2000,1291341.576
27,2001,1307089.644
27,2002,1340835.504
27,2003,1356583.572
27,2004,1361083.02
27,2005,1397078.604
27,2006,1482568.116
27,2007,1532062.044
27,2008,1534311.768
27,2009,1356583.572
27,2010,1316088.54
27,2011,1367832.192
27,2012,1417326.12
27,2013,1462320.6
27,2014,1491567.012
28,2000,827539.65
28,2001,823463.1
28,2002,834333.9
28,2003,847922.4
28,2004,858793.2
28,2005,880534.8
28,2006,929453.4
28,2007,948477.3
28,2008,952553.85
28,2009,866946.3
28,2010,831616.2
28,2011,887329.05
28,2012,911788.35
28,2013,930812.25
28,2014,945759.6
29,2000,6407099.712
29,2001,6704475.648
29,2002,6668430.08
29,2003,6632384.512
29,2004,6524247.808
29,2005,6533259.2
29,2006,6587327.552
29,2007,6686452.864
29,2008,6695464.256
29,2009,6506225.024
29,2010,6497213.632
29,2011,6632384.512
29,2012,6650407.296
29,2013,6704475.648
29,2014,6749532.608
30,2000,3566132.091
30,2001,3618498.201
30,2002,3618498.201
30,2003,3597551.757
30,2004,3576605.313
30,2005,3581841.924
30,2006,3628971.423
30,2007,3681337.533
30,2008,3723230.421
30,2009,3597551.757
30,2010,3566132.091
30,2011,3613261.59
30,2012,3634208.034
30,2013,3608024.979
30,2014,3597551.757
31,2000,827539.65
31,2001,823463.1
31,2002,834333.9
31,2003,847922.4
31,2004,858793.2
31,2005,880534.8
31,2006,929453.4
31,2007,948477.3
31,2008,952553.85
31,2009,866946.3
31,2010,831616.2
31,2011,887329.05
